29						
7						
4.4862	9.0960	8.2256	6.5502	5.9410	9.5730	7.7392
4.5377	8.7817	8.2060	6.6507	6.0303	7.9998	7.5699
4.7011	9.8001	8.3421	6.3805	6.3499	6.6557	7.8016
4.9565	9.0100	8.1171	6.7737	5.4612	10.1166	7.5962
4.5251	8.5925	8.0454	6.6174	5.9241	7.3244	7.7196
4.9455	8.9481	8.4323	6.7114	6.1498	9.9155	8.0910
4.6079	9.1452	8.5604	7.0242	5.7818	9.9810	8.5812
4.4322	9.0142	8.3605	6.4705	5.5136	6.3071	7.4981
4.6575	8.9266	8.6338	6.5418	5.7449	9.8377	7.7989
4.8645	9.2713	8.5775	6.8281	5.8430	9.7728	7.7168
4.6572	9.0507	8.4611	6.4581	5.9313	6.6979	8.5319
4.6415	8.9537	8.1248	6.7303	5.2985	9.8362	7.8385
4.7361	9.0886	8.7602	6.8893	6.6551	7.6362	7.7851
4.6751	8.9733	8.0644	6.4370	6.1290	7.9760	7.7583
4.7344	9.3125	8.1032	6.8430	6.2572	8.0456	7.4070
4.9724	8.9342	8.2065	6.9167	6.3553	9.7163	8.3824
5.2044	8.7924	8.7026	6.6317	5.1848	9.6311	7.6545
5.4160	8.7725	8.5818	7.2965	6.2070	10.0382	7.8362
4.7141	8.9008	8.0408	6.4022	6.4101	8.6990	7.6143
5.2048	9.0669	8.2664	6.9475	5.6969	9.7030	8.2995
4.4788	8.7939	7.3678	6.5350	7.1772	6.5169	7.7249
4.9608	8.6649	8.2552	6.9609	6.2646	9.0545	8.1203
4.5382	10.0327	8.2719	6.8041	5.4347	10.214	8.6203
4.4985	9.0725	7.9132	6.3570	5.7506	7.6763	7.5045
4.5384	8.7735	7.7904	6.3672	6.5001	9.4727	7.6716
4.4007	9.6368	8.0584	6.0689	5.4156	8.1023	8.1163
4.7716	9.0046	7.9555	6.8429	5.7092	9.9871	8.1778
4.4317	9.1118	8.0384	6.2370	5.6429	9.9993	8.3414
4.4529	9.2409	8.0684	6.4338	7.2676	8.4750	8.4821
